ProductKey,CustomerKey,OrderDate,Quantity,Net Price
2492,18813,2008-01-01,1,23.7405
1763,4751,2008-01-01,1,94.7625
1763,4760,2008-01-01,1,94.7625
1763,4764,2008-01-01,1,94.7625
1763,4773,2008-01-01,1,94.7625
1763,4774,2008-01-01,1,94.7625
1763,4775,2008-01-01,1,94.7625
1763,4776,2008-01-01,1,94.7625
1763,4777,2008-01-01,1,94.7625
1763,4778,2008-01-01,1,94.7625
1763,4779,2008-01-01,1,94.7625
1763,4781,2008-01-01,1,94.7625
1763,4782,2008-01-01,1,94.7625
1763,4783,2008-01-01,1,94.7625
1763,4815,2008-01-01,1,94.7625
2124,17160,2008-01-01,1,422.75
2124,17163,2008-01-01,1,422.75
2124,17165,2008-01-01,1,422.75
197,17599,2008-01-01,1,284.905
197,17600,2008-01-01,1,284.905
197,17602,2008-01-01,1,284.905
197,17604,2008-01-01,1,284.905
197,17605,2008-01-01,1,284.905
197,17607,2008-01-01,1,284.905
192,5963,2008-01-01,1,569.05
192,5964,2008-01-01,1,569.05
192,5966,2008-01-01,1,569.05
192,5967,2008-01-01,1,569.05
192,5968,2008-01-01,1,569.05
192,5969,2008-01-01,1,569.05
192,5971,2008-01-01,1,569.05
1776,15265,2008-01-01,1,40.85
1776,15266,2008-01-01,1,40.85
1776,15267,2008-01-01,1,40.85
1776,15269,2008-01-01,1,40.85
1776,15272,2008-01-01,1,40.85
1666,13528,2008-01-01,1,16.0455
1666,13529,2008-01-01,1,16.0455
1666,13530,2008-01-01,1,16.0455
1666,13531,2008-01-01,1,16.0455
1666,13999,2008-01-01,1,16.0455
1666,14000,2008-01-01,1,16.0455
1666,14155,2008-01-01,1,16.0455
1666,14156,2008-01-01,1,16.0455
1666,14162,2008-01-01,1,16.0455
1666,14163,2008-01-01,1,16.0455
1666,14170,2008-01-01,1,16.0455
1666,14185,2008-01-01,1,16.0455
1666,14186,2008-01-01,1,16.0455
1666,14192,2008-01-01,1,16.0455
1666,14966,2008-01-01,1,16.0455
1666,14967,2008-01-01,1,16.0455
1666,15058,2008-01-01,1,16.0455
1666,15060,2008-01-01,1,16.0455
1666,15061,2008-01-01,1,16.0455
1666,15062,2008-01-01,1,16.0455
1666,15066,2008-01-01,1,16.0455
1666,15083,2008-01-01,1,16.0455
1666,15084,2008-01-01,1,16.0455
1666,15085,2008-01-01,1,16.0455
1666,15090,2008-01-01,1,16.0455
1666,15091,2008-01-01,1,16.0455
1666,15092,2008-01-01,1,16.0455
1666,15099,2008-01-01,1,16.0455
1666,15107,2008-01-01,1,16.0455
1666,15108,2008-01-01,1,16.0455
1666,15109,2008-01-01,1,16.0455
1666,15204,2008-01-01,1,16.0455
1666,15539,2008-01-01,1,16.0455
1666,15541,2008-01-01,1,16.0455
1666,15594,2008-01-01,1,16.0455
1666,15685,2008-01-01,1,16.0455
1666,15691,2008-01-01,1,16.0455
1666,15692,2008-01-01,1,16.0455
1666,15699,2008-01-01,1,16.0455
1666,15705,2008-01-01,1,16.0455
1666,15706,2008-01-01,1,16.0455
1666,15708,2008-01-01,1,16.0455
1666,15709,2008-01-01,1,16.0455
1666,15723,2008-01-01,1,16.0455
1666,15724,2008-01-01,1,16.0455
1666,16453,2008-01-01,1,16.0455
1666,16460,2008-01-01,1,16.0455
1666,16461,2008-01-01,1,16.0455
1666,16528,2008-01-01,1,16.0455
1666,16529,2008-01-01,1,16.0455
1666,16530,2008-01-01,1,16.0455
1666,16616,2008-01-01,1,16.0455
1666,16620,2008-01-01,1,16.0455
1666,16621,2008-01-01,1,16.0455
1666,16622,2008-01-01,1,16.0455
1666,16631,2008-01-01,1,16.0455
1666,16632,2008-01-01,1,16.0455
1666,16641,2008-01-01,1,16.0455
1666,16642,2008-01-01,1,16.0455
1666,16646,2008-01-01,1,16.0455
1666,16647,2008-01-01,1,16.0455
1666,16648,2008-01-01,1,16.0455
1666,16662,2008-01-01,1,16.0455
1666,16664,2008-01-01,1,16.0455
1666,16665,2008-01-01,1,16.0455
1666,17076,2008-01-01,1,16.0455
1666,17077,2008-01-01,1,16.0455
1666,17084,2008-01-01,1,16.0455
1666,17085,2008-01-01,1,16.0455
1666,17147,2008-01-01,1,16.0455
1666,17236,2008-01-01,1,16.0455
1666,17237,2008-01-01,1,16.0455
1666,17238,2008-01-01,1,16.0455
1666,17239,2008-01-01,1,16.0455
1666,17243,2008-01-01,1,16.0455
1666,17244,2008-01-01,1,16.0455
1666,17245,2008-01-01,1,16.0455
1666,17253,2008-01-01,1,16.0455
1666,17254,2008-01-01,1,16.0455
1666,17260,2008-01-01,1,16.0455
1666,17268,2008-01-01,1,16.0455
1666,17269,2008-01-01,1,16.0455
1666,17288,2008-01-01,1,16.0455
1666,17289,2008-01-01,1,16.0455
1666,17290,2008-01-01,1,16.0455
1666,18049,2008-01-01,1,16.0455
1666,18128,2008-01-01,1,16.0455
1666,18129,2008-01-01,1,16.0455
1666,18130,2008-01-01,1,16.0455
1666,18220,2008-01-01,1,16.0455
1666,18221,2008-01-01,1,16.0455
1666,18222,2008-01-01,1,16.0455
1666,18229,2008-01-01,1,16.0455
1666,18235,2008-01-01,1,16.0455
1666,18236,2008-01-01,1,16.0455
1666,18237,2008-01-01,1,16.0455
1666,18239,2008-01-01,1,16.0455
1666,18240,2008-01-01,1,16.0455
1666,18244,2008-01-01,1,16.0455
1666,18245,2008-01-01,1,16.0455
1666,18246,2008-01-01,1,16.0455
1666,18252,2008-01-01,1,16.0455
1666,18253,2008-01-01,1,16.0455
1666,18262,2008-01-01,1,16.0455
1666,18275,2008-01-01,1,16.0455
1666,18355,2008-01-01,1,16.0455
1666,82,2008-01-01,1,16.0455
1666,83,2008-01-01,1,16.0455
1666,84,2008-01-01,1,16.0455
1666,174,2008-01-01,1,16.0455
